idx,raw_id,original_sentence,standard_negation,sn_절1,sn_절2,sn_절3,local_negation_type,local_negation,local_부정요소,ln_절1,ln_절2,contradiction,paraphrase,note
14,593469,"율곡사업으로 뇌물을 받은 이종구가 징역 3년 집행유예 4년과 추징금 1억8천만원을 선고받았고, 북한을 다섯 차례 방문해 공작금을 받은 황석영에게 징역 6년과 자격정지 6년이 선고되었다.","율곡사업으로 뇌물을 받은 이종구가 징역 3년 집행유예 4년 또는 추징금 1억8천만원을 선고받지 않았거나, 북한을 다섯 차례 방문해 공작금을 받은 황석영에게 징역 6년 혹은 자격정지 6년이 선고되지 않았다.",안 장형,안 장형,,관형절,"율곡사업으로 뇌물을 받은 이종구가 징역 3년 집행유예 4년과 추징금 1억8천만원을 선고받았고, 북한을 다섯 차례 방문해 공작금을 안 받은 황석영에게 징역 6년과 자격정지 6년이 선고되었다.",공작금을 받은,안 단형,,"율곡사업으로 뇌물을 받은 이종구가 징역 10년과 벌금 1억8천만원을 선고받았고, 북한을 다섯 차례 방문해 공작금을 받은 황석영에게 무죄가 선고되었다.","율곡사업과 관련해 뇌물을 받은 이종구는 징역 3년과 집행유예 4년, 추징금 1억8천만 원을 선고받았고, 북한을 다섯 차례 방문해 공작금을 받은 황석영에게는 징역 6년과 자격정지 6년이 각각 내려졌다.",
15,451615,무주중학교는 전라북도 무주군 무주읍 읍내리에 위치한 공립 중학교이다.,무주중학교는 전라북도 무주군 무주읍 읍내리에 위치한 공립 중학교가 아니다.,아니다,,,관형절,무주중학교는 전라북도 무주군 무주읍 읍내리에 위치하지 않은 공립 중학교이다.,전라북도 무주군 무주읍 읍내리에 위치한,안 장형,,무주중학교는 경기도 수원시 팔달구 인계동에 위치한 사립 고등학교이다.,"공립 중학교가 무주중학교는 공립이며, 전북 무주군 무주읍 읍내리에 자리해 있다.",
16,359957,"루터는 1521년부터 2년간 신분을 숨긴 채로 신약성서를 독일어로 번역하여 신도들이 성서를 직접 읽으며 기독교 신앙을 이해하도록 하였고, 구텐베르크가 개발한 금속활자는 성경책의 대량 보급을 가능하게 하였다.","루터는 1521년부터 2년간 신분을 숨긴 채로 신약성서를 독일어로 번역하여 신도들이 성서를 직접 읽으며 기독교 신앙을 이해하도록 하지 않았거나, 구텐베르크가 개발한 금속활자는 성경책의 대량 보급을 가능하게 하지 못했다.",안 장형,못 장형,,부사절,"루터는 1521년부터 2년간 신분을 숨긴 채로 신약성서를 독일어로 번역하여 신도들이 성서를 직접 읽으며 기독교 신앙을 이해하지 못하도록 하였고, 구텐베르크가 개발한 금속활자는 성경책의 대량 보급을 가능하게 하였다.",기독교 신앙을 이해하도록,못 장형,,"루터는 1521년부터 2년간 신분을 드러낸 채로 구약성서를 라틴어로 번역하여 신도들이 성서를 직접 읽는 대신 오직 성직자의 설교를 통해 기독교 신앙을 이해하도록 하였고, 구텐베르크가 개발한 금속활자는 성경책의 대량 보급을 억제하였다.","루터는 1521년부터 2년 동안 은신하며 신약을 독일어로 옮겨 신자들이 스스로 성경을 읽고 기독교 신앙을 이해할 수 있게 했고, 구텐베르크가 만든 금속활자로 성경책의 대량 보급이 가능해졌다.",
17,182754,이마바리성은 에히메현 이마바리시에 위치하며 해안에 세워져 천수각에서 세토 내해를 바라볼 수 있다.,"이마바리성은 에히메현 이마바리시에 위치하지 않거나, 해안에 세워져 천수각에서 세토 내해를 바라볼 수 없다.",안 장형,어휘적,,부사절,이마바리성은 에히메현 이마바리시에 위치하며 해안에 안 세워져 천수각에서 세토 내해를 바라볼 수 있다.,해안에 세워져,안 단형,,이마바리성은 홋카이도 삿포로시에 위치하며 내륙에 세워져 있다.,에히메현 이마바리시에 있는 이마바리성은 해안가에 자리해 천수각에서 세토 내해를 볼 수 있다.,
18,179205,"하와이기러기는 하와이 제도에만 서식하는 기러기이며, 북아메리카의 캐나다기러기와 조상을 공유한다.","하와이기러기는 하와이 제도에만 서식하는 기러기가 아니거나, 북아메리카의 캐나다기러기와 조상을 공유하지 않는다.",아니다,안 장형,,대등절 일부,"하와이기러기는 하와이 제도에만 서식하는 기러기이며, 북아메리카의 캐나다기러기와 조상을 공유하지 않는다.",북아메리카의 캐나다기러기와 조상을 공유한다,안 장형,,"하와이기러기는 하와이 제도와 북아메리카 본토에 서식하는 기러기이며, 아시아의 큰기러기와만 조상을 공유한다.","하와이기러기는 하와이 제도에만 사는 기러기로, 북미의 캐나다기러기와 공통 조상을 지닌다.",
19,589090,그가 일을 강요받는 고된 생활을 견디기 어려웠다고 밝히자 이에 대응하여 17개 시민사회단체가 포함된 대책위원회가 구성되었다.,그가 일을 강요받는 고된 생활을 견디기 어려웠다고 밝히자 이에 대응하여 17개 시민사회단체가 포함된 대책위원회가 구성되지 않았다.,안 장형,,,인용절,그가 일을 강요받는 고된 생활을 견디기 안 어려웠다고 밝히자 이에 대응하여 17개 시민사회단체가 포함된 대책위원회가 구성되었다.,고된 생활을 견디기 어려웠다고,안 단형,,그가 일을 강요받는 고된 생활을 견디기 수월했다고 밝히자 이에 대응하여 17개 시민사회단체가 포함된 대책위원회가 해산되었다.,"그가 강제된 노동으로 인한 고된 삶을 버티기 힘들었다고 밝히자, 이에 대응해 17개 시민사회단체가 참여한 대책위원회가 발족했다.",
20,91176,아사노 마스미는 2003년 4월 1일 사무소를 옮긴 후 처음으로 단독 주역을 맡았고 2003년 10월 22일에 미니 앨범 《nostalgia》를 발매했다.,"아사노 마스미는 2003년 4월 1일 사무소를 옮긴 후 처음으로 단독 주역을 맡지 못했거나, 2003년 10월 22일에 미니 앨범 《nostalgia》를 발매하지 못했다.",못 장형,못 장형,,대등절 일부,아사노 마스미는 2003년 4월 1일 사무소를 옮긴 후 처음으로 단독 주역을 맡았고 2003년 10월 22일에 미니 앨범 《nostalgia》를 발매하지 못했다.,미니 앨범 《nostalgia》를 발매했다,못 장형,,아사노 마스미는 2003년 4월 1일 사무소를 옮기기 전에 이미 여러 차례 단독 주역을 맡았고 2003년 10월 22일에 미니 앨범 《nostalgia》의 발매가 무기한 연기되었다.,"아사노 마스미는 2003년 4월 1일 소속사를 옮긴 뒤 처음으로 단독 주연을 맡았고, 같은 해 10월 22일 미니앨범 《nostalgia》를 발매했다.",
21,91709,물건은 일부 대륙법계 국가에서 법률상 물권이나 소유권의 객체를 의미하며 물건에서 무체물의 포함 여부가 법역마다 다르다.,물건은 일부 대륙법계 국가에서 법률상 물권이나 소유권의 객체를 의미하지 않거나 물건에서 무체물의 포함 여부가 법역마다 안 다르다.,안 장형,안 단형,,대등절 일부,물건은 일부 대륙법계 국가에서 법률상 물권이나 소유권의 객체를 의미하며 물건에서 무체물의 포함 여부가 법역마다 안 다르다.,법역마다 다르다,안 단형,,물건은 모든 국가에서 법률상 채권을 의미하며 물건에서 무체물의 포함 여부가 모든 국가에서 일관적이다.,"몇몇 대륙법계 국가에서는 법률상 ‘물건’을 물권이나 소유권의 대상을 의미한다고 보고, 무체물을 포함하는지 여부는 법역에 따라 다르다.",
22,123369,정인과는 1888년 평안남도 순천에서 태어나 평양의 숭실중학교와 숭실전문학교를 졸업한 뒤 일제강점기 조선예수교장로회 총회장과 기독교신문협회 회장을 역임한 한국의 장로교 목사이다.,정인과는 1888년 평안남도 순천에서 태어나 평양의 숭실중학교와 숭실전문학교를 졸업한 뒤 일제강점기 조선예수교장로회 총회장과 기독교신문협회 회장을 역임한 한국의 장로교 목사가 아니다.,아니다,,,관형절,정인과는 1888년 평안남도 순천에서 태어나 평양의 숭실중학교와 숭실전문학교를 졸업한 뒤 일제강점기 조선예수교장로회 총회장이나 기독교신문협회 회장을 역임하지 못한 한국의 장로교 목사이다.,조선예수교장로회 총회장과 기독교신문협회 회장을 역임한,못 장형,,정인과는 1901년 경상남도 진주에서 태어나 서울의 경성고등보통학교와 연희전문학교를 졸업한 뒤 해방 이후 대한예수교장로회 총회장과 가톨릭신문협회 회장을 역임한 일본의 가톨릭 신부이다.,"정인과는 1888년 평안남도 순천에서 출생해 평양의 숭실중학교와 숭실전문학교를 졸업하였고, 일제강점기 조선예수교장로회에서 총회장을 지내고 기독교신문협회의 회장을 맡았던 한국의 장로교 목사다.",
23,57656,"안산시는 동쪽으로 단둥, 북동으로 랴오양시에 접해 있으며, 안산시에 358만 4,000명이 거주한다.","안산시는 동쪽으로 단둥에 접해 있지 않거나, 북동으로 랴오양시에 접해 있지 않거나, 안산시에 358만 4,000명이 거주하지 않는다.",안 장형,안 장형,안 장형,대등절 일부,"안산시는 동쪽으로 단둥, 북동으로 랴오양시에 접해 있으며, 안산시에 358만 4,000명이 거주하지 않는다.","안산시에 358만 4,000명이 거주한다",안 장형,,"안산시는 서쪽으로 단둥, 남서로 랴오양시에 접해 있으며, 안산시에 258만 4,001명이 거주한다.","동쪽으로는 단둥, 북동쪽으로는 랴오양시와 맞닿아 있고, 안산시의 인구는 3,584,000 명이다.",
24,478945,스포츠 과학은 스포츠를 연구 대상으로 하며 자연과학과 사회과학 영역을 포함한다.,"스포츠 과학은 스포츠를 연구 대상으로 하지 않거나, 자연과학 또는 사회과학 영역을 포함하지 않는다.",안 장형,안 장형,,대등절 일부,스포츠 과학은 스포츠를 연구 대상으로 하며 자연과학이나 사회과학 영역을 포함하지 않는다.,자연과학과 사회과학 영역을 포함한다,안 장형,,스포츠 과학은 예술을 연구 대상으로 하며 인문학과 예술 영역만을 포함한다.,"스포츠 과학은 스포츠를 대상으로 하는 학문으로, 자연과학과 사회과학을 아우른다.",
25,261617,"조동종은 중국 불교의 선종 다섯 종파 중 하나이며, 일본에 조동종이 존재한다.","조동종은 중국 불교의 선종 다섯 종파 중 하나가 아니거나, 일본에 조동종이 존재하지 않는다.",아니다,안 장형,,대등절 일부,"조동종은 중국 불교의 선종 다섯 종파 중 하나이며, 일본에 조동종이 없다.",일본에 조동종이 존재한다,어휘적,,"조동종은 중국 불교의 선종 다섯 종파 밖의 별도 종파이며, 일본에는 임제종만 존재한다.","조동종은 중국 선종의 다섯 종파 가운데 하나로, 일본에도 조동종이 있다.",
26,904207,"장호완은 고남산 각섬암을 알칼리반려암질암으로 분류하였으나 전은영과 권성택은 고남산 각섬암을 화학성분의 차이에 따라 알칼리 각섬암, 분화된 각섬암, 솔레아이트질 각섬암으로 구분하였다.","장호완이 고남산 각섬암을 알칼리반려암질암으로 분류하지 않았거나, 전은영이 고남산 각섬암을 화학성분의 차이에 따라 알칼리 각섬암, 분화된 각섬암, 솔레아이트질 각섬암으로 구분하지 않았거나, 권성택이 고남산 각섬암을 화학성분의 차이에 따라 알칼리 각섬암, 분화된 각섬암, 솔레아이트질 각섬암으로 구분하지 않았다.",안 장형,안 장형,안 장형,대등절 일부,"장호완은 고남산 각섬암을 알칼리반려암질암으로 분류하였으나, 전은영 혹은 권성택은 고남산 각섬암을 화학성분의 차이에 따라 알칼리 각섬암, 분화된 각섬암, 솔레아이트질 각섬암으로 구분하지 않았다.","전은영과 권성택은 고남산 각섬암을 화학성분의 차이에 따라 알칼리 각섬암, 분화된 각섬암, 솔레아이트질 각섬암으로 구분하였다.",안 장형,,"장호완은 고남산 각섬암을 화학성분의 차이에 따라 알칼리 각섬암, 분화된 각섬암, 솔레아이트질 각섬암으로 구분하였으나 전은영과 권성택은 고남산 각섬암을 알칼리반려암질암으로 분류하였다.","장호완은 고남산 각섬암을 알칼리반려암질암으로 보았으나, 전은영과 권성택은 화학 성분 차이를 기준으로 이를 알칼리 각섬암·분화된 각섬암·솔레아이트질 각섬암으로 나눴다.",
27,657025,"시리아의 역사는 현재의 시리아 아랍 공화국 영토와 시리아 지역에서 일어난 사건을 포함하며, 시리아 지역은 기원전 10세기에 신아시리아 제국에 의해 처음 통일되었다.","시리아의 역사는 현재의 시리아 아랍 공화국 영토와 시리아 지역에서 일어난 사건을 포함하지 않거나, 시리아 지역은 기원전 10세기에 신아시리아 제국에 의해 처음 통일되지 않았다.",안 장형,안 장형,,관형절,"시리아의 역사는 현재의 시리아 아랍 공화국 영토나 시리아 지역에서 안 일어난 사건을 포함하며, 시리아 지역은 기원전 10세기에 신아시리아 제국에 의해 처음 통일되었다.",현재의 시리아 아랍 공화국 영토와 시리아 지역에서 일어난,안 단형,,"시리아의 역사는 현재의 시리아 아랍 공화국 영토와 시리아 지역 밖에서 일어난 사건만을 포함하며, 시리아 지역은 기원전 14세기에 히타이트 제국에 의해 처음 통일되었다.","시리아 역사에는 오늘날의 시리아 아랍 공화국 영토와 시리아 지역에서 일어난 사건이 포함되며, 이 지역은 기원전 10세기에 신아시리아 제국에 의해 처음 통일되었다.",
28,696819,"손없는 날은 나쁜 귀신이 활동하지 않아 인간에게 해를 끼치지 않는 길한 날이며, 음력 날짜 중 9와 0으로 끝나며 모든 방향이 안전한 날을 의미한다.","손없는 날은 나쁜 귀신이 활동하지 않아 인간에게 해를 끼치지 않는 길한 날이 아니거나, 음력 날짜 중 9와 0으로 끝나며 모든 방향이 안전한 날을 의미하지 않는다.",아니다,안 장형,,부사절,"손없는 날은 나쁜 귀신이 활동하여 인간에게 해를 끼치지 않는 길한 날이며, 음력 날짜 중 9와 0으로 끝나며 모든 방향이 안전한 날을 의미한다.",나쁜 귀신이 활동하지 않아,,,"손없는 날은 나쁜 귀신과 관련하여 인간에게 해가 되는 흉한 날이며, 음력 날짜 중 1과 2로 끝나며 모든 방향이 위험한 날을 의미한다.","손없는 날은 사악한 귀신이 움직이지 않아 사람에게 피해가 없다고 여겨지는 길일로, 음력 날짜의 끝자리가 9나 0인 날을 가리키며 모든 방향이 안전하다고 본다.",삭제 후보
29,719068,"방송통신위원회는 불법 촬영물을 유통하는 해외 사이트를 차단하는 것은 인터넷 검열이나 표현의 자유 침해가 아니라고 강조했으나, https 전체를 차단하는 것은 과도한 조치라고 주장했다.","방송통신위원회는 불법 촬영물을 유통하는 해외 사이트를 차단하는 것은 인터넷 검열이나 표현의 자유 침해가 아니라고 강조하지 않았거나, https 전체를 차단하는 것은 과도한 조치라고 주장하지 않았다.",안 장형,안 장형,,인용절,"방송통신위원회는 불법 촬영물을 유통하는 해외 사이트를 차단하는 것은 인터넷 검열과 표현의 자유 침해라고 강조했으나, https 전체를 차단하는 것은 과도한 조치라고 주장했다.",인터넷 검열이나 표현의 자유 침해가 아니라고,,,"방송통신위원회는 불법 촬영물을 유통하는 해외 사이트를 차단하는 것은 인터넷 검열이나 표현의 자유 침해가 아니라고 강조했고, https 전체를 차단하는 것은 적절한 조치라고 주장했다.","방송통신위원회는 불법 촬영물을 퍼뜨리는 해외 사이트 차단이 인터넷 검열이나 표현의 자유 침해에 해당하지 않는다고 말했지만, HTTPS를 전면 차단하는 것은 과도한 조치라고 주장했다.",
30,660941,"《하노버 스트리트》는 1979년 영국에서 제작한 드라마 액션 멜로 영화이고, 《하노버 스트리트》의 감독은 피터 하이암스이고 《하노버 스트리트》의 주연은 해리슨 포드이다.","《하노버 스트리트》는 1979년 영국에서 제작한 드라마 액션 멜로 영화가 아니거나, 《하노버 스트리트》의 감독은 피터 하이암스가 아니거나, 《하노버 스트리트》의 주연은 해리슨 포드가 아니다.",아니다,아니다,아니다,관형절,"《하노버 스트리트》는 1979년 영국에서 제작하지 못한 드라마 액션 멜로 영화이고, 《하노버 스트리트》의 감독은 피터 하이암스이고 《하노버 스트리트》의 주연은 해리슨 포드이다.",1979년 영국에서 제작한,못 장형,,"《하노버 스트리트》는 1985년 미국에서 제작한 코미디 다큐멘터리 스릴러 영화이고, 《하노버 스트리트》의 감독은 리들리 스콧이고 《하노버 스트리트》의 주연은 알 파치노이다.","《하노버 스트리트》는 1979년 영국에서 제작된 드라마·액션·멜로 영화로, 피터 하이암스가 감독하고 해리슨 포드가 주연을 맡았다.",
31,496672,나도풍란속은 난초과에 속하며 남중국과 인도 아대륙이 원산지이다.,"나도풍란속은 난초과에 속하지 않거나, 남중국이 원산지가 아니거나, 인도 아대륙이 원산지가 아니다.",안 장형,아니다,아니다,대등절 일부,"나도풍란속은 난초과에 속하며 남중국이 원산지가 아니거나, 인도 아대륙이 원산지가 아니다.",남중국과 인도 아대륙이 원산지이다,아니다,,나도풍란속은 국화과에 속하며 북유럽과 남아메리카가 원산지이다.,"나도풍란속은 난초과의 한 속으로, 남중국과 인도 아대륙이 원산지다.",
33,641179,"2600호대 차량들은 7000호대가 도입되는 2020년대 초까지 운행될 예정이며, 블루 라인은 전력 시스템의 한계로 가장 오래된 CTA 차량을 사용하고 있다.","2600호대 차량들은 7000호대가 도입되는 2020년대 초까지 운행될 예정이 아니거나, 블루 라인은 전력 시스템의 한계로 가장 오래된 CTA 차량을 사용하고 있지 않다.",아니다,안 장형,,관형절,"2600호대 차량들은 7000호대가 도입되는 2020년대 초까지 운행될 예정이며, 블루 라인은 전력 시스템의 한계로 가장 오래되지 않은 CTA 차량을 사용하고 있다.",가장 오래된,안 장형,,"2600호대 차량들은 7000호대가 도입되는 2020년대 초보다 앞선 시점에 전량 퇴역할 예정이며, 블루 라인은 전력 시스템의 대대적 업그레이드로 가장 최신형 CTA 차량을 사용하고 있다.","2600호대는 7000호대가 들어오는 2020년대 초까지 계속 운행될 예정이며, 전력 설비 제약으로 블루라인은 CTA 차량 중 가장 오래된 것을 사용하고 있다.",
